,Year,Country,Population
296,1962,IND,469077190.0
297,1962,POL,30308500.0
298,1962,PAN,1202449.0
299,1962,GEO,3760300.0
300,1962,GUY,606285.0
301,1962,VEN,8742777.0
302,1962,COL,17092918.0
303,1962,PER,10749466.0
304,1962,UGA,7215796.0
305,1962,NZL,2482000.0
306,1962,ECU,4809201.0
307,1962,TKM,1715408.0
308,1962,TTO,879441.0
309,1962,DOM,3521018.0
310,1962,JAM,1676501.0
311,1962,LBR,1166648.0
312,1962,SUR,303895.0
313,1962,PLW,10317.0
314,1962,LTU,2863350.0
315,1962,NAM,665115.0
316,1962,UKR,43752230.0
317,1962,ISL,182378.0
318,1962,AUT,7129864.0
319,1962,RWA,3052936.0
320,1962,DMA,61982.0
321,1962,MLT,323900.0
322,1962,LUX,320750.0
323,1962,CYP,577691.0
324,1962,SGP,1750200.0
325,1962,SLE,2388769.0
326,1962,PNG,2340352.0
327,1962,AFG,9351441.0
328,1962,YEM,5473671.0
329,1962,MDA,2664000.0
330,1962,SRB,..
331,1962,CAF,1551910.0
332,1962,BIH,3353226.0
333,1962,GUM,69604.0
334,1962,SVK,4238188.0
335,1962,THA,29080938.0
336,1962,TLS,491571.0
337,1962,GAB,511287.0
338,1962,SMR,16255.0
339,1962,LAO,2221125.0
340,1962,KOR,26513030.0
341,1962,PRK,11871712.0
342,1962,MOZ,7507303.0
343,1962,SEN,3386806.0
344,1962,CPV,210142.0
345,1962,CZE,9624660.0
346,1962,BOL,3802990.0
347,1962,AND,15370.0
348,1962,HKG,3305200.0
349,1962,LCA,91891.0
350,1962,FSM,47367.0
351,1962,COD,16041190.0
352,1962,MLI,5381368.0
353,1962,STP,64479.0
354,1962,MKD,1527111.0
355,1962,LIE,17289.0
356,1962,MNE,502558.0
357,1962,ALB,1711319.0
358,1962,SWZ,350156.0
359,1962,BDI,2907321.0
360,1962,NRU,4944.0
361,1962,VNM,34683407.0
362,1962,MHL,15547.0
363,1962,KIR,43281.0
364,1962,TUV,5340.0
365,1962,SSD,2951043.0
366,1963,CHN,682335000.0
367,1963,FIN,4523309.0
368,1963,ROU,18797850.0
369,1963,NOR,3666537.0
370,1963,EST,1258857.0
371,1963,FRA,48582611.0
372,1963,ESP,31296651.0
373,1963,EGY,28871383.0
374,1963,ITA,51252000.0
375,1963,AZE,4315127.0
376,1963,RUS,123960000.0
377,1963,ARG,21488912.0
378,1963,CUB,7623294.0
379,1963,BLR,8437232.0
380,1963,CMR,5518104.0
381,1963,MEX,41462369.0
382,1963,USA,189242000.0
383,1963,HUN,10087947.0
384,1963,BRN,93540.0
385,1963,PAK,48387301.0
386,1963,IRQ,7888913.0
387,1963,QAT,61716.0
388,1963,CAN,18964000.0
389,1963,IRL,2852650.0
390,1963,AUS,10950000.0
391,1963,MAR,13478423.0
392,1963,ERI,1088854
393,1963,JOR,1050213.0
394,1963,TUN,4380068.0
395,1963,BEL,9289770.0
396,1963,DJI,100628.0
397,1963,COM,200372.0
398,1963,KAZ,11147859.0
399,1963,MDV,97551.0
