,Year,Country,Population,GDP
165,1961,ARM,1941492.0,..
166,1961,CIV,3631553.0,618245639.2
167,1961,KEN,8377696.0,792959472.1
168,1961,BEN,2465867.0,235668222.4
169,1961,GHA,6848295.0,1302674264
170,1961,SOM,2814118.0,191659914.4
171,1961,SYR,4721896.0,945244992.2
172,1961,GBR,52800000.0,76694360636.0
173,1961,CHI,110399.0,..
174,1961,IND,459642165.0,39232436723.0
175,1961,POL,29964000.0,..
176,1961,PAN,1167113.0,599026300
177,1961,GEO,3703600.0,..
178,1961,GUY,589274.0,185848451.3
179,1961,VEN,8439261.0,8189090909
180,1961,COL,16567811.0,4540447761.0
181,1961,PER,10446620.0,2899654840.0
182,1961,UGA,6983818.0,441524109.0
183,1961,NZL,2419700.0,5670064168.0
184,1961,ECU,4674172.0,1753850417.0
185,1961,TKM,1658362.0,..
186,1961,TTO,864818.0,584961208.7
187,1961,DOM,3406280.0,654100200
188,1961,JAM,1651073.0,748028839.4
189,1961,LBR,1142302.0,..
190,1961,SUR,295916.0,107700000.0
191,1961,PLW,10049.0,..
192,1961,LTU,2823550.0,..
193,1961,NAM,649279.0,..
194,1961,UKR,43206345.0,..
195,1961,ISL,179029.0,253885656.3
196,1961,AUT,7086299.0,7311749633.0
197,1961,RWA,2998325.0,122000016.0
198,1961,DMA,61032.0,..
199,1961,MLT,325250.0,..
200,1961,LUX,316845.0,704145671.4
201,1961,CYP,576395.0,..
202,1961,SGP,1702400.0,764634783.7
203,1961,SLE,2352363.0,327834680.6
204,1961,PNG,2297059.0,244832035.0
205,1961,AFG,9169410.0,548888895.6
206,1961,YEM,5393036.0,..
207,1961,MDA,2605000.0,..
208,1961,SRB,..,..
209,1961,CAF,1526066.0,123134584.5
210,1961,BIH,3288603.0,..
211,1961,GUM,68072.0,..
212,1961,SVK,4191667.0,..
213,1961,THA,28224187.0,3034043574.0
214,1961,TLS,482854.0,..
215,1961,GAB,505799.0,167637907.4
216,1961,SMR,15837.0,..
217,1961,LAO,2170344.0,..
218,1961,KOR,25765673.0,2417638423.0
219,1961,PRK,11665595.0,..
220,1961,MOZ,7342111.0,..
221,1961,SEN,3295278.0,1058975266
222,1961,CPV,205327.0,..
223,1961,CZE,9586651.0,..
224,1961,BOL,3728964.0,406684585.7
225,1961,AND,14375.0,..
226,1961,HKG,3168100.0,1383681651.0
227,1961,LCA,90716.0,..
228,1961,FSM,45932.0,..
229,1961,COD,15637699.0,3086746857
230,1961,MLI,5322266.0,..
231,1961,STP,64602.0,..
232,1961,MKD,1507654.0,..
233,1961,LIE,16893.0,..
234,1961,MNE,491140.0,..
235,1961,ALB,1659800.0,..
236,1961,SWZ,343345.0,43025199.5
237,1961,BDI,2852438.0,202999992.0
238,1961,NRU,4632.0,..
239,1961,VNM,33666110.0,..
240,1961,MHL,15051.0,..
241,1961,KIR,42229.0,..
242,1961,TUV,5335.0,..
243,1961,SSD,2895605.0,..
244,1962,CHN,665770000.0,47209359006.0
245,1962,FIN,4491443.0,6340580854.0
246,1962,ROU,18676550.0,..
247,1962,NOR,3638918.0,6066976683.0
248,1962,EST,1241623.0,..
249,1962,FRA,47904877.0,76313782252.0
250,1962,ESP,31023366.0,16138545209.0
251,1962,EGY,28112256.0,..
252,1962,ITA,50879450.0,50383891899.0
253,1962,AZE,4171426.0,..
